"","Sample","Timepoint","Replicate","variable","value","Mean_ODnorm","SD_ODnorm","SE_ODnorm","col_fac"
"85","△TRP4-△MET14 2:1","24h","rep1","Glucose_pOD",96.672770412907,79.5382315573785,14.8762738310786,8.58882070091182,"Met14 Trp2"
"86","△TRP4-△MET14 2:1","24h","rep2","Glucose_pOD",69.9177732797299,79.5382315573785,14.8762738310786,8.58882070091182,"Met14 Trp2"
"87","△TRP4-△MET14 2:1","24h","rep3","Glucose_pOD",72.0241509794984,79.5382315573785,14.8762738310786,8.58882070091182,"Met14 Trp2"
"88","△TRP4-△MET14 2:1","48h","rep1","Glucose_pOD",3.87725120117134,4.08281387150413,0.241203788420058,0.139259072173878,"Met14 Trp2"
"89","△TRP4-△MET14 2:1","48h","rep2","Glucose_pOD",4.34834427417147,4.08281387150413,0.241203788420058,0.139259072173878,"Met14 Trp2"
"90","△TRP4-△MET14 2:1","48h","rep3","Glucose_pOD",4.02284613916957,4.08281387150413,0.241203788420058,0.139259072173878,"Met14 Trp2"
"91","△TRP4-△TRP2 1:1","24h","rep1","Glucose_pOD",38.553231235404,27.4837232721604,10.5032089422353,6.06403051015441,"Trp2 Trp4"
"92","△TRP4-△TRP2 1:1","24h","rep2","Glucose_pOD",17.6574785037588,27.4837232721604,10.5032089422353,6.06403051015441,"Trp2 Trp4"
"93","△TRP4-△TRP2 1:1","24h","rep3","Glucose_pOD",26.2404600773185,27.4837232721604,10.5032089422353,6.06403051015441,"Trp2 Trp4"
"94","△TRP4-△TRP2 1:1","48h","rep1","Glucose_pOD",2.85079959847137,3.19437675821888,0.651349953393849,0.376057070928589,"Trp2 Trp4"
"95","△TRP4-△TRP2 1:1","48h","rep2","Glucose_pOD",3.94558126233104,3.19437675821888,0.651349953393849,0.376057070928589,"Trp2 Trp4"
"96","△TRP4-△TRP2 1:1","48h","rep3","Glucose_pOD",2.78674941385422,3.19437675821888,0.651349953393849,0.376057070928589,"Trp2 Trp4"
"97","△TRP4-△TRP2 1:10","24h","rep1","Glucose_pOD",130.768743559855,128.285754807785,3.13084759351195,1.80759570090582,"Trp2 Trp4"
"98","△TRP4-△TRP2 1:10","24h","rep2","Glucose_pOD",129.31984426818,128.285754807785,3.13084759351195,1.80759570090582,"Trp2 Trp4"
"99","△TRP4-△TRP2 1:10","24h","rep3","Glucose_pOD",124.76867659532,128.285754807785,3.13084759351195,1.80759570090582,"Trp2 Trp4"
"100","△TRP4-△TRP2 1:10","48h","rep1","Glucose_pOD",47.3223199718069,51.7551406505141,3.91161077244064,2.25836953243365,"Trp2 Trp4"
"101","△TRP4-△TRP2 1:10","48h","rep2","Glucose_pOD",54.722067117538,51.7551406505141,3.91161077244064,2.25836953243365,"Trp2 Trp4"
"102","△TRP4-△TRP2 1:10","48h","rep3","Glucose_pOD",53.2210348621973,51.7551406505141,3.91161077244064,2.25836953243365,"Trp2 Trp4"
