"A","B","synergy","nearest.monoculture","t.test_p.value","fold.change.48","Cocul","p.value.adj"
"ADE6","ARG2","Yes","ARG2",0.386966505,2.299756166,"ADE6-ARG2",0.491279215043478
"ARG1","ARG2","Yes","ARG2",0.132067746,1.821090173,"ARG1-ARG2",0.385928544501992
"ARG3","ARG2","Yes","ARG2",0.30224726,2.230925328,"ARG3-ARG2",0.439200985714286
"ARG4","ARG2","Yes","ARG2",0.087279113,3.049246305,"ARG4-ARG2",0.31856876245
"ARG5,6","ARG2","Yes","ARG2",0.380917423,2.80653926,"ARG5,6-ARG2",0.487841611912281
"BUD16","ARG2","Yes","ARG2",0.372036587,2.468908723,"BUD16-ARG2",0.479835174045936
"FCY22","ARG2","Yes","ARG2",0.37940406,2.307853776,"FCY22-ARG2",0.486757405623902
"HIS2","ARG2","Yes","ARG2",0.042521427,1.75293427,"HIS2-ARG2",0.226574027080292
"IRC10","ARG2","Yes","IRC10",1.15e-05,24.77427722,"IRC10-ARG2",0.00119928571428571
"ISA1","ARG2","Yes","ARG2",0.267869583,2.349017292,"ISA1-ARG2",0.414906514547368
"LYS12","ARG2","Yes","ARG2",0.074255668,3.057119115,"LYS12-ARG2",0.297548333602151
"LYS4","ARG2","Yes","ARG2",0.261748251,2.526942571,"LYS4-ARG2",0.414608509526882
"LYS9","ARG2","Yes","ARG2",0.238464803,2.084491465,"LYS9-ARG2",0.406761187977273
"MET1","ARG2","Yes","ARG2",0.001223838,5.233384733,"MET1-ARG2",0.0288194109677419
"MET14","ARG2","Yes","ARG2",5.59e-05,6.718718831,"MET14-ARG2",0.00305035714285714
"MET3","ARG2","Yes","MET3",8.33e-05,19.42737548,"MET3-ARG2",0.00405393333333333
"MET5","ARG2","Yes","ARG2",0.00271709,5.694955595,"MET5-ARG2",0.048377456097561
"ORF , Uncharacterized (2)","ARG2","Yes","ARG2",0.208669929,2.428644942,"ORF , Uncharacterized (2)-ARG2",0.406761187977273
"ORT1","ARG2","Yes","ARG2",0.241557933,1.794097607,"ORT1-ARG2",0.406761187977273
"PEX35","ARG2","Yes","ARG2",0.239147549,2.139600953,"PEX35-ARG2",0.406761187977273
"RPL27A","ARG2","Yes","ARG2",0.121065481,2.810812953,"RPL27A-ARG2",0.381967267284483
"RSC2","ARG2","Yes","ARG2",0.148391971,2.260167141,"RSC2-ARG2",0.389470243964286
"TRP3","ARG2","Yes","ARG2",0.120973704,1.725491926,"TRP3-ARG2",0.381967267284483
"TRP4","ARG2","Yes","ARG2",0.130412868,2.428195164,"TRP4-ARG2",0.385928544501992
"ADE1","HIS1","Yes","ADE1",8.95e-07,15.01269268,"ADE1-HIS1",0.000217783333333333
"ADE2","HIS1","Yes","HIS1",0.297037731,3.696072667,"ADE2-HIS1",0.435416754277108
"ADE6","HIS1","Yes","HIS1",0.301570282,3.508671114,"ADE6-HIS1",0.439200985714286
"ADE8","HIS1","Yes","HIS1",0.337650603,1.653820108,"ADE8-HIS1",0.454769262343173
"ARG1","HIS1","Yes","HIS1",0.138991469,2.286726763,"ARG1-HIS1",0.388750085708812
"ARG3","HIS1","Yes","HIS1",0.244856951,4.208872175,"ARG3-HIS1",0.406761187977273
"ARG4","HIS1","Yes","HIS1",0.131250476,4.327275696,"ARG4-HIS1",0.385928544501992
"ARO1","HIS1","Yes","HIS1",0.111178462,2.022660692,"ARO1-HIS1",0.3630697659375
"ARO2","HIS1","Yes","HIS1",0.18378536,4.537251053,"ARO2-HIS1",0.406311699063444
"ARO7","HIS1","Yes","ARO7",0.249999857,3.844697999,"ARO7-HIS1",0.409192591053812
"BUD16","HIS1","Yes","HIS1",0.284763502,3.85110499,"BUD16-HIS1",0.423375471405295
"ECM29","HIS1","Yes","ECM29",0.009683587,2.424640144,"ECM29-HIS1",0.0942535801333333
"FCY22","HIS1","Yes","HIS1",0.179272277,4.182039476,"FCY22-HIS1",0.406311699063444
"HIS2","HIS1","Yes","HIS1",0.241360589,2.268838522,"HIS2-HIS1",0.406761187977273
"HIS4","HIS1","Yes","HIS1",0.229437763,2.806766427,"HIS4-HIS1",0.406761187977273
"IRC10","HIS1","Yes","HIS1",0.009859112,8.987615495,"IRC10-HIS1",0.0946993652631579
"ISA1","HIS1","Yes","HIS1",0.175298938,4.093875568,"ISA1-HIS1",0.406311699063444
"LYS12","HIS1","Yes","HIS1",0.026640466,7.167689665,"LYS12-HIS1",0.172018519122807
"LYS2","HIS1","Yes","LYS2",0.26710183,3.140334938,"LYS2-HIS1",0.414906514547368
"LYS4","HIS1","Yes","HIS1",0.274961168,3.624093375,"LYS4-HIS1",0.41527303643299
"LYS9","HIS1","Yes","HIS1",0.044344608,4.737429969,"LYS9-HIS1",0.230508496595745
"MET1","HIS1","Yes","HIS1",0.026675432,5.534739059,"MET1-HIS1",0.172018519122807
"MET13","HIS1","Yes","HIS1",0.147628037,3.55466969,"MET13-HIS1",0.389470243964286
"MET14","HIS1","Yes","HIS1",0.148543966,5.11038779,"MET14-HIS1",0.389470243964286
"MET3","HIS1","Yes","HIS1",0.006108577,8.196269266,"MET3-HIS1",0.0755806984745763
"MET5","HIS1","Yes","HIS1",0.001959759,8.914784558,"MET5-HIS1",0.0386655154054054
"MET7","HIS1","Yes","HIS1",0.229876776,3.865586317,"MET7-HIS1",0.406761187977273
"MHF2","HIS1","Yes","HIS1",0.031936431,6.637853898,"MHF2-HIS1",0.193420734715447
"ORF , Uncharacterized (2)","HIS1","Yes","HIS1",0.23495135,3.623667722,"ORF , Uncharacterized (2)-HIS1",0.406761187977273
"ORT1","HIS1","Yes","HIS1",0.218387994,3.75058971,"ORT1-HIS1",0.406761187977273
"PEX35","HIS1","Yes","HIS1",0.152324883,3.443932316,"PEX35-HIS1",0.390114884513889
"RPL27A","HIS1","Yes","HIS1",9.2e-05,6.85208815,"RPL27A-HIS1",0.0041975
"RPS24B","HIS1","Yes","HIS1",0.272414226,3.871123186,"RPS24B-HIS1",0.41527303643299
"RSC2","HIS1","Yes","HIS1",0.227038152,3.687838532,"RSC2-HIS1",0.406761187977273
"TRP3","HIS1","Yes","HIS1",0.053462044,1.863795127,"TRP3-HIS1",0.250174949487179
"TRP4","HIS1","Yes","HIS1",0.019672524,5.988336299,"TRP4-HIS1",0.148050953814433
"TRP5","HIS1","Yes","HIS1",0.312015226,3.210106197,"TRP5-HIS1",0.44133024729207
"URA1","HIS1","Yes","HIS1",0.018488689,5.713196829,"URA1-HIS1",0.143460176315789
"ADE1","IBA57","Yes","IBA57",1.52e-05,22.92070833,"ADE1-IBA57",0.001387
"ADE2","IBA57","Yes","IBA57",0.198954691,10.80450668,"ADE2-IBA57",0.406761187977273
"ADE8","IBA57","Yes","ADE8",0.226257715,2.957704092,"ADE8-IBA57",0.406761187977273
"APT1","IBA57","Yes","APT1",0.325561399,3.393000622,"APT1-IBA57",0.452362068481973
"ARG2","IBA57","Yes","ARG2",0.012364967,2.13840737,"ARG2-IBA57",0.110078364756098
"ARG3","IBA57","Yes","ARG3",0.112813031,4.507130022,"ARG3-IBA57",0.366015611688889
"ARO2","IBA57","Yes","IBA57",0.155058214,5.5529956,"ARO2-IBA57",0.390498389249147
"ARO7","IBA57","Yes","IBA57",0.022234847,4.846900905,"ARO7-IBA57",0.152434738504673
"BUD16","IBA57","Yes","BUD16",0.264099941,4.109938823,"BUD16-IBA57",0.414608509526882
"ECM29","IBA57","Yes","ECM29",0.035267746,2.534632082,"ECM29-IBA57",0.20113636390625
"ERG4","IBA57","Yes","IBA57",0.193808181,1.94781006,"ERG4-IBA57",0.406761187977273
"FCY22","IBA57","Yes","IBA57",0.152555323,7.098300472,"FCY22-IBA57",0.390114884513889
"HIS1","IBA57","Yes","IBA57",0.016201581,6.71578892,"HIS1-IBA57",0.135944300344828
"HIS2","IBA57","Yes","HIS2",0.032590069,2.40147037,"HIS2-IBA57",0.193420734715447
"HIS4","IBA57","Yes","HIS4",0.283736674,1.57789689,"HIS4-IBA57",0.423375471405295
"HIS6","IBA57","Yes","HIS6",0.303285023,2.175455543,"HIS6-IBA57",0.439200985714286
"HMF1","IBA57","Yes","IBA57",0.887535776,1.06703387,"HMF1-IBA57",0.912536783774648
"ILV1","IBA57","Yes","ILV1",0.136311767,3.114792791,"ILV1-IBA57",0.386621581395349
"IRC10","IBA57","Yes","IRC10",0.128956545,5.476605675,"IRC10-IBA57",0.385928544501992
"ISA1","IBA57","Yes","IBA57",0.117000684,9.554372613,"ISA1-IBA57",0.377922563362832
"LAG1","IBA57","Yes","LAG1",0.178250316,1.911585493,"LAG1-IBA57",0.406311699063444
"LYS12","IBA57","Yes","LYS12",0.006457007,8.58327094,"LYS12-IBA57",0.077272378852459
"LYS2","IBA57","Yes","LYS2",0.253072761,4.717774197,"LYS2-IBA57",0.410924726644444
"LYS4","IBA57","Yes","LYS4",0.171781957,9.208860735,"LYS4-IBA57",0.406311699063444
"LYS9","IBA57","Yes","LYS9",0.149385847,5.057056173,"LYS9-IBA57",0.389470243964286
"MET10","IBA57","Yes","IBA57",0.006307715,13.98824589,"MET10-IBA57",0.0767438658333333
"MET13","IBA57","Yes","MET13",0.05096244,1.918604613,"MET13-IBA57",0.245420246447368
"MET3","IBA57","Yes","MET3",0.217677812,1.462904749,"MET3-IBA57",0.406761187977273
"MET5","IBA57","Yes","MET5",0.134620148,4.576992757,"MET5-IBA57",0.386621581395349
"MET7","IBA57","Yes","IBA57",0.251432208,3.635176619,"MET7-IBA57",0.409724859486607
"MHF2","IBA57","Yes","MHF2",0.085589312,4.070576047,"MHF2-IBA57",0.315556554343434
"ORF , Uncharacterized (2)","IBA57","Yes","IBA57",0.12281957,5.458288644,"ORF , Uncharacterized (2)-IBA57",0.383155068803419
"ORT1","IBA57","Yes","ORT1",0.167120966,2.100311222,"ORT1-IBA57",0.40396789794702
"PEX35","IBA57","Yes","PEX35",0.263019872,3.495768194,"PEX35-IBA57",0.414608509526882
"RPL27A","IBA57","Yes","IBA57",0.003593703,19.0519218,"RPL27A-IBA57",0.0582978486666667
"RSC2","IBA57","Yes","RSC2",0.419550049,2.027730758,"RSC2-IBA57",0.513017647855946
"TRP3","IBA57","Yes","TRP3",0.430783349,1.556427232,"TRP3-IBA57",0.524119741283333
"TRP4","IBA57","Yes","TRP4",0.042488512,7.25000232,"TRP4-IBA57",0.226574027080292
"TRP5","IBA57","Yes","TRP5",0.161395252,6.992337281,"TRP5-IBA57",0.397331132222222
"URA1","IBA57","Yes","URA1",0.062563022,6.234203129,"URA1-IBA57",0.270242639408284
"URA4","IBA57","Yes","URA4",0.23187978,2.758228312,"URA4-IBA57",0.406761187977273
"ADE1","RPS24B","Yes","RPS24B",0.006862966,11.73231218,"ADE1-RPS24B",0.0795232568253968
"ADE2","RPS24B","Yes","RPS24B",0.27319495,4.156831306,"ADE2-RPS24B",0.41527303643299
"ADE6","RPS24B","Yes","RPS24B",0.274040276,3.517392555,"ADE6-RPS24B",0.41527303643299
"ADE8","RPS24B","Yes","RPS24B",0.043995452,6.275512378,"ADE8-RPS24B",0.230508496595745
"APL2","RPS24B","Yes","APL2",0.306533204,2.418400505,"APL2-RPS24B",0.439200985714286
"ARG1","RPS24B","Yes","ARG1",0.004011869,3.09149472,"ARG1-RPS24B",0.0616426892
"ARG2","RPS24B","Yes","ARG2",0.017645441,2.659484516,"ARG2-RPS24B",0.143124132555556
"ARG3","RPS24B","Yes","RPS24B",0.153665978,6.876603798,"ARG3-RPS24B",0.390114884513889
"ARG4","RPS24B","Yes","ARG4",0.194638361,6.410904915,"ARG4-RPS24B",0.406761187977273
"ARG5,6","RPS24B","Yes","RPS24B",0.307266291,2.240432763,"ARG5,6-RPS24B",0.439200985714286
"ARG8","RPS24B","Yes","ARG8",0.355201644,2.155117766,"ARG8-RPS24B",0.469741304565217
"ARO1","RPS24B","Yes","RPS24B",0.052202556,3.121458707,"ARO1-RPS24B",0.245857199225806
"ARO2","RPS24B","Yes","RPS24B",0.11041803,6.348371622,"ARO2-RPS24B",0.3630697659375
"ARO7","RPS24B","Yes","RPS24B",0.067158416,3.636269204,"ARO7-RPS24B",0.285032812093023
"BUD16","RPS24B","Yes","BUD16",0.275270931,3.201243154,"BUD16-RPS24B",0.41527303643299
"ECM29","RPS24B","Yes","ECM29",0.002702332,7.338382855,"ECM29-RPS24B",0.048377456097561
"FCY22","RPS24B","Yes","RPS24B",0.148078336,4.2747491,"FCY22-RPS24B",0.389470243964286
"HIS1","RPS24B","Yes","HIS1",0.051777705,3.695359522,"HIS1-RPS24B",0.245857199225806
"HIS2","RPS24B","Yes","HIS2",0.019038024,2.612891839,"HIS2-RPS24B",0.1447683075
"HIS4","RPS24B","Yes","HIS4",0.090821341,3.702139599,"HIS4-RPS24B",0.320881644245283
"HIS6","RPS24B","Yes","HIS6",0.092994595,4.198619601,"HIS6-RPS24B",0.320881644245283
"ILV1","RPS24B","Yes","ILV1",0.221911324,2.394674285,"ILV1-RPS24B",0.406761187977273
"IRC10","RPS24B","Yes","IRC10",0.036863814,3.81681186,"IRC10-RPS24B",0.206023453129771
"ISA1","RPS24B","Yes","RPS24B",0.18664903,6.239081996,"ISA1-RPS24B",0.406761187977273
"LAG1","RPS24B","Yes","LAG1",0.049603714,1.82774439,"LAG1-RPS24B",0.244320138187919
"LYS12","RPS24B","Yes","LYS12",0.001724197,10.88565068,"LYS12-RPS24B",0.0349628836111111
"LYS4","RPS24B","Yes","RPS24B",0.197076943,6.277429326,"LYS4-RPS24B",0.406761187977273
"LYS9","RPS24B","Yes","LYS9",0.050696627,6.628377134,"LYS9-RPS24B",0.245420246447368
"MET10","RPS24B","Yes","RPS24B",0.022343174,9.621301181,"MET10-RPS24B",0.152434738504673
"MET13","RPS24B","Yes","RPS24B",0.001357357,2.042944505,"MET13-RPS24B",0.0309647065625
"MET5","RPS24B","Yes","MET5",0.199887331,3.557250992,"MET5-RPS24B",0.406761187977273
"MHF2","RPS24B","Yes","RPS24B",0.004851114,2.502152096,"MHF2-RPS24B",0.0668172305660377
"ORF , Uncharacterized (1)","RPS24B","Yes","ORF , Uncharacterized (1)",0.47504106,2.021739544,"ORF , Uncharacterized (1)-RPS24B",0.556629171428571
"ORF , Uncharacterized (2)","RPS24B","Yes","RPS24B",0.126493804,5.931346019,"ORF , Uncharacterized (2)-RPS24B",0.385928544501992
"ORT1","RPS24B","Yes","ORT1",0.360009249,2.196734325,"ORT1-RPS24B",0.470327266457961
"PEX35","RPS24B","Yes","PEX35",0.251447585,3.232016292,"PEX35-RPS24B",0.409724859486607
"RPL27A","RPS24B","Yes","RPL27A",0.061311515,5.101669621,"RPL27A-RPS24B",0.268008418862275
"RSC2","RPS24B","Yes","RSC2",0.306632806,2.165818064,"RSC2-RPS24B",0.439200985714286
"TRP3","RPS24B","Yes","TRP3",0.413989819,1.88562072,"TRP3-RPS24B",0.512224691305085
"TRP4","RPS24B","Yes","RPS24B",0.054165565,4.834617387,"TRP4-RPS24B",0.251852627070064
"URA1","RPS24B","Yes","URA1",0.010205252,4.477334829,"URA1-RPS24B",0.0955106917948718
"YEA4","RPS24B","Yes","YEA4",0.131413009,3.196562471,"YEA4-RPS24B",0.385928544501992
"ADE1","ILV1","Yes","ILV1",0.001135517,11.25709837,"ADE1-ILV1",0.0276309136666667
"ADE2","ILV1","Yes","ILV1",0.241269114,5.529585582,"ADE2-ILV1",0.406761187977273
"ADE5,7","ILV1","Yes","ILV1",0.078113009,1.848816351,"ADE5,7-ILV1",0.303311151968085
"ADE6","ILV1","Yes","ILV1",0.226525286,6.173076923,"ADE6-ILV1",0.406761187977273
"APL2","ILV1","Yes","APL2",0.374034642,2.132529597,"APL2-ILV1",0.481561355661376
"ARG1","ILV1","Yes","ARG1",0.036971332,2.354381376,"ARG1-ILV1",0.206023453129771
"ARG2","ILV1","Yes","ARG2",0.105809673,1.520999068,"ARG2-ILV1",0.355949591198157
"ARG4","ILV1","Yes","ARG4",0.275900579,2.200977099,"ARG4-ILV1",0.41527303643299
"ARO1","ILV1","Yes","ILV1",0.085454525,2.56597644,"ARO1-ILV1",0.315556554343434
"ARO7","ILV1","Yes","ILV1",0.085475058,2.535799033,"ARO7-ILV1",0.315556554343434
"BUD16","ILV1","Yes","BUD16",0.305077137,3.142236967,"BUD16-ILV1",0.439200985714286
"ECM29","ILV1","Yes","ECM29",0.079740333,2.113275755,"ECM29-ILV1",0.304766717748691
"ERG4","ILV1","Yes","ILV1",0.49733688,1.536390858,"ERG4-ILV1",0.57766249745628
"FCY22","ILV1","Yes","ILV1",0.232549439,5.045857934,"FCY22-ILV1",0.406761187977273
"ISA1","ILV1","Yes","ILV1",0.153908338,1.92071033,"ISA1-ILV1",0.390114884513889
"LAG1","ILV1","Yes","ILV1",0.018388448,2.832248792,"LAG1-ILV1",0.143460176315789
"LYS4","ILV1","Yes","ILV1",0.196271927,6.236094946,"LYS4-ILV1",0.406761187977273
"LYS9","ILV1","Yes","LYS9",0.106685295,5.465464213,"LYS9-ILV1",0.357202236666667
"MET10","ILV1","Yes","MET10",0.09207308,6.837268788,"MET10-ILV1",0.320881644245283
"MET3","ILV1","Yes","MET3",0.143410389,2.706787835,"MET3-ILV1",0.389470243964286
"ORF , Uncharacterized (2)","ILV1","Yes","ILV1",0.245171127,2.076923077,"ORF , Uncharacterized (2)-ILV1",0.406761187977273
"RPL27A","ILV1","Yes","ILV1",0.017240804,11.10443586,"RPL27A-ILV1",0.141413336179775
"RPS24B","ILV1","Yes","ILV1",0.242462747,5.121302155,"RPS24B-ILV1",0.406761187977273
"RSC2","ILV1","Yes","RSC2",0.309883672,2.388794849,"RSC2-ILV1",0.440965069317739
"TRP4","ILV1","Yes","TRP4",0.075813685,1.964928762,"TRP4-ILV1",0.297548333602151
"URA1","ILV1","Yes","URA1",0.131349255,2.526785714,"URA1-ILV1",0.385928544501992
"ADE2","MET14","Yes","MET14",0.254633533,3.976990346,"ADE2-MET14",0.41094165401766
"ADE5,7","MET14","Yes","MET14",0.169761291,3.381807592,"ADE5,7-MET14",0.406311699063444
"ARG1","MET14","Yes","ARG1",0.016399643,5.344118262,"ARG1-MET14",0.136042493068182
"ARG2","MET14","Yes","MET14",8.53e-07,15.28936158,"ARG2-MET14",0.000217783333333333
"ARG3","MET14","Yes","ARG3",0.004222102,6.008993326,"ARG3-MET14",0.0616426892
"ARG5,6","MET14","Yes","MET14",0.189123298,4.036996217,"ARG5,6-MET14",0.406761187977273
"ARO1","MET14","Yes","MET14",0.246352287,5.045066655,"ARO1-MET14",0.407794035170068
"ARO2","MET14","Yes","MET14",0.0521812,1.986056035,"ARO2-MET14",0.245857199225806
"ARO7","MET14","Yes","MET14",0.003422048,8.390122389,"ARO7-MET14",0.0580952334883721
"HIS2","MET14","Yes","MET14",6.49e-06,14.82785106,"HIS2-MET14",0.00094754
"HIS4","MET14","Yes","HIS4",0.142195604,8.271041566,"HIS4-MET14",0.389470243964286
"ILV1","MET14","Yes","MET14",0.009261432,10.76467317,"ILV1-MET14",0.0942535801333333
"IRC10","MET14","Yes","MET14",1.95e-05,14.37170715,"IRC10-MET14",0.0014308
"ISA1","MET14","Yes","MET14",0.018669475,4.177010561,"ISA1-MET14",0.143460176315789
"LAG1","MET14","Yes","MET14",0.225255702,3.783311853,"LAG1-MET14",0.406761187977273
"LYS4","MET14","Yes","MET14",0.004147892,4.223356713,"LYS4-MET14",0.0616426892
"LYS5","MET14","Yes","MET14",0.185813139,3.227645585,"LYS5-MET14",0.406761187977273
"LYS9","MET14","Yes","LYS9",0.031007584,5.285198496,"LYS9-MET14",0.19021459092437
"MHF2","MET14","Yes","MET14",0.34878743,4.603883259,"MHF2-MET14",0.464625591058394
"ORF , Uncharacterized (2)","MET14","Yes","MET14",0.290903319,5.176136909,"ORF , Uncharacterized (2)-MET14",0.429877374230769
"PEX35","MET14","Yes","MET14",0.334312083,2.16900131,"PEX35-MET14",0.454769262343173
"TRP3","MET14","Yes","MET14",0.007786886,6.595305515,"TRP3-MET14",0.0874527196923077
"URA4","MET14","Yes","MET14",0.290220939,3.388637645,"URA4-MET14",0.429738915760649
"ADE2","ADE1","Yes","ADE2",0.463848005,1.866890007,"ADE2-ADE1",0.548799098298217
"ARG2","ADE1","Yes","ARG2",0.442783953,1.375286714,"ARG2-ADE1",0.533386610049505
"ARG8","ADE1","Yes","ARG8",0.872566249,1.059179714,"ARG8-ADE1",0.902228557747875
"ECM29","ADE1","Yes","ECM29",0.275534335,2.271807304,"ECM29-ADE1",0.41527303643299
"ILV1","ADE1","Yes","ILV1",0.661815596,1.292386898,"ILV1-ADE1",0.732008159212121
"IRC10","ADE1","Yes","IRC10",0.216678346,3.805305403,"IRC10-ADE1",0.406761187977273
"LYS4","ADE1","Yes","LYS4",0.244186858,1.391856116,"LYS4-ADE1",0.406761187977273
"LYS5","ADE1","Yes","LYS5",0.312558545,1.421875291,"LYS5-ADE1",0.44133024729207
"LYS9","ADE1","Yes","LYS9",0.401915994,1.504512626,"LYS9-ADE1",0.504922916821306
"MET13","ADE1","Yes","MET13",0.110917441,1.4627449,"MET13-ADE1",0.3630697659375
"MET14","ADE1","Yes","MET14",0.189127716,4.866837008,"MET14-ADE1",0.406761187977273
"RPS24B","ADE1","Yes","RPS24B",0.33560468,2.607174307,"RPS24B-ADE1",0.454769262343173
"TRP3","ADE1","Yes","TRP3",0.666224249,1.096727787,"TRP3-ADE1",0.734658159773414
"ADE1","ARG8","Yes","ARG8",0.132308126,2.97070024,"ADE1-ARG8",0.385928544501992
"ADE2","ARG8","Yes","ARG8",0.49773933,1.791251719,"ADE2-ARG8",0.57766249745628
"ARG1","ARG8","Yes","ARG1",0.048787424,2.04926498,"ARG1-ARG8",0.242277683809524
"ARO1","ARG8","Yes","ARO1",0.124404569,3.488255766,"ARO1-ARG8",0.385928544501992
"ECM29","ARG8","Yes","ECM29",0.163777244,5.90939782,"ECM29-ARG8",0.398524627066667
"FCY22","ARG8","Yes","FCY22",0.244201505,1.75037935,"FCY22-ARG8",0.406761187977273
"HIS2","ARG8","Yes","HIS2",0.005957666,2.197991021,"HIS2-ARG8",0.0749844168965517
"HIS4","ARG8","Yes","ARG8",0.004169953,4.352921236,"HIS4-ARG8",0.0616426892
"LAG1","ARG8","Yes","LAG1",0.326401006,5.366716677,"LAG1-ARG8",0.452362068481973
"LYS5","ARG8","Yes","ARG8",0.341860864,6.113379358,"LYS5-ARG8",0.45790537746789
"MET3","ARG8","Yes","MET3",0.009674283,3.685360648,"MET3-ARG8",0.0942535801333333
"ADE1","VPH2","Yes","ADE1",0.003544501,13.28341726,"ADE1-VPH2",0.0582978486666667
"ADE2","VPH2","Yes","VPH2",0.215354141,9.023758008,"ADE2-VPH2",0.406761187977273
"ADE5,7","VPH2","Yes","ADE5,7",0.001570317,2.43443445,"ADE5,7-VPH2",0.032752326
"ADE6","VPH2","Yes","ADE6",0.235607726,5.230226708,"ADE6-VPH2",0.406761187977273
"ADE8","VPH2","Yes","VPH2",0.244594052,5.358546934,"ADE8-VPH2",0.406761187977273
"ARG1","VPH2","Yes","ARG1",0.315480849,2.265094748,"ARG1-VPH2",0.444596563262548
"ARG4","VPH2","Yes","ARG4",0.218494396,3.976708344,"ARG4-VPH2",0.406761187977273
"ARO1","VPH2","Yes","ARO1",0.359781247,2.574317046,"ARO1-VPH2",0.470327266457961
"ARO2","VPH2","Yes","VPH2",0.184231743,6.034997394,"ARO2-VPH2",0.406311699063444
"ARO7","VPH2","Yes","ARO7",0.137797849,2.409442426,"ARO7-VPH2",0.386893960653846
"ERG4","VPH2","Yes","VPH2",0.237514629,1.979612053,"ERG4-VPH2",0.406761187977273
"HIS4","VPH2","Yes","HIS4",0.221984044,2.300486518,"HIS4-VPH2",0.406761187977273
"HIS6","VPH2","Yes","HIS6",0.07010319,5.807387372,"HIS6-VPH2",0.295811148554913
"ILV1","VPH2","Yes","ILV1",0.357835736,2.147899608,"ILV1-VPH2",0.470327266457961
"ISA1","VPH2","Yes","ISA1",0.074314363,9.096751591,"ISA1-VPH2",0.297548333602151
"LAG1","VPH2","Yes","LAG1",0.324629316,4.357170976,"LAG1-VPH2",0.452250764656489
"LYS2","VPH2","Yes","LYS2",0.492005444,1.908385612,"LYS2-VPH2",0.573744367603834
"LYS4","VPH2","Yes","LYS4",0.192896882,4.905064303,"LYS4-VPH2",0.406761187977273
"LYS9","VPH2","Yes","LYS9",0.149252012,5.3090141,"LYS9-VPH2",0.389470243964286
"MET3","VPH2","Yes","MET3",0.20299031,5.940277601,"MET3-VPH2",0.406761187977273
"ORF , Uncharacterized (2)","VPH2","Yes","ORF , Uncharacterized (2)",0.074218485,5.163693386,"ORF , Uncharacterized (2)-VPH2",0.297548333602151
"PEX35","VPH2","Yes","PEX35",0.20586131,6.691482498,"PEX35-VPH2",0.406761187977273
"RPL27A","VPH2","Yes","RPL27A",0.126015166,9.817659962,"RPL27A-VPH2",0.385928544501992
"RPS24B","VPH2","Yes","VPH2",0.216582388,8.643530729,"RPS24B-VPH2",0.406761187977273
"TRP2","VPH2","Yes","VPH2",0.409795442,1.530855229,"TRP2-VPH2",0.511166387679181
"TRP4","VPH2","Yes","TRP4",0.032994599,4.211941871,"TRP4-VPH2",0.19424239733871
"TRP5","VPH2","Yes","TRP5",0.337521168,5.574204115,"TRP5-VPH2",0.454769262343173
"URA1","VPH2","Yes","URA1",0.148247207,5.31989353,"URA1-VPH2",0.389470243964286
"URA4","VPH2","Yes","VPH2",0.507052325,1.472274427,"URA4-VPH2",0.582910546850394
"ADE1","MET7","Yes","ADE1",0.323385403,3.965379741,"ADE1-MET7",0.451379243193117
"ADE2","MET7","Yes","ADE2",0.466667942,2.18270778,"ADE2-MET7",0.549987367854839
"ADE6","MET7","Yes","ADE6",0.547306538,-2.198757684,"ADE6-MET7",0.624269093634945
"ARG4","MET7","Yes","ARG4",0.363539792,3.08094659,"ARG4-MET7",0.470539092482269
"ARO1","MET7","Yes","ARO1",0.440010199,1.268958402,"ARO1-MET7",0.533285982975207
"ARO2","MET7","Yes","ARO2",0.295847835,9.095862575,"ARO2-MET7",0.434545109758551
"HIS6","MET7","Yes","HIS6",0.268397778,3.365171328,"HIS6-MET7",0.414906514547368
"ILV1","MET7","Yes","ILV1",0.645590145,1.31512649,"ILV1-MET7",0.716232227735562
"ISA1","MET7","Yes","ISA1",0.334146165,5.163684013,"ISA1-MET7",0.454769262343173
"LYS2","MET7","Yes","LYS2",0.091356977,8.143964918,"LYS2-MET7",0.320881644245283
"RPL27A","MET7","Yes","RPL27A",0.201151202,7.340372033,"RPL27A-MET7",0.406761187977273
"RPS24B","MET7","Yes","RPS24B",0.383426279,10.40506404,"RPS24B-MET7",0.488869894572426
"TRP5","MET7","Yes","TRP5",0.216351435,8.231861254,"TRP5-MET7",0.406761187977273
"URA1","MET7","Yes","URA1",0.249834728,5.31200566,"URA1-MET7",0.409192591053812
"ADE8","LYS4","Yes","LYS4",0.192659799,2.846688142,"ADE8-LYS4",0.406761187977273
"ARG2","LYS4","Yes","ARG2",0.107160671,2.711024545,"ARG2-LYS4",0.357202236666667
"ARG3","LYS4","Yes","LYS4",0.33945747,3.410252818,"ARG3-LYS4",0.455521972610294
"ARG4","LYS4","Yes","LYS4",0.228785595,4.847319172,"ARG4-LYS4",0.406761187977273
"HIS6","LYS4","Yes","LYS4",0.147576575,4.835489605,"HIS6-LYS4",0.389470243964286
"LYS2","LYS4","Yes","LYS4",0.07152051,10.41340835,"LYS2-LYS4",0.297491648977273
"MET10","LYS4","Yes","LYS4",0.180715621,5.802208757,"MET10-LYS4",0.406311699063444
"MET14","LYS4","Yes","LYS4",0.173171591,2.20946418,"MET14-LYS4",0.406311699063444
"MET3","LYS4","Yes","LYS4",0.020548704,2.55457437,"MET3-LYS4",0.151019918
